StationCode,Station_Longitude,Station_Latitude,SurveySeason
SJS203,-121.3673851,37.96465226,EDSM_20mm
LSR207,-121.87992,38.05505,EDSM_20mm
MKR211,-121.52589,38.17887,EDSM_20mm
SRU208,-121.55876,38.49763,EDSM_20mm
PP208,-121.5367305,38.04520015,EDSM_20mm
RV205,-121.70842,38.09244,EDSM_20mm
LSR208,-121.84454,38.06606,EDSM_20mm
SBM210,-122.02415,38.07835,EDSM_20mm
MI207,-121.52067,37.98067,EDSM_20mm
SBW205,-122.10914,38.05593,EDSM_20mm
VC203,-121.55487,37.85844,EDSM_20mm
SPE208,-122.30033,38.05376,EDSM_20mm
MI208,-121.5499202,38.0100862,EDSM_20mm
LNR203,-122.29186,38.1523,EDSM_20mm
FT207,-121.6285333,38.0496567,EDSM_20mm
FT207,-121.6285333,38.04965671,EDSM_20mm
MI208,-121.54992,38.01009,EDSM_20mm
LSR209,-121.87463,38.04399,EDSM_20mm
PP209,-121.56896,38.09532,EDSM_20mm
SBW209,-122.07574,38.07754,EDSM_20mm
SBW210,-122.09014,38.07407,EDSM_20mm
SPE210,-122.26101,38.05885,EDSM_20mm
FT209,-121.654183,38.01303,EDSM_20mm
SBW206,-122.09185,38.07453,EDSM_20mm
LSR210,-121.77132,38.06678,EDSM_20mm
SPE209,-122.28031,38.03889,EDSM_20mm
SJT205,-121.62471,38.11791,EDSM_20mm
SBM211,-122.03075,38.10353,EDSM_20mm
SBM212,-122.0544,38.10129,EDSM_20mm
MI210,-121.527333,38.02431717,EDSM_20mm
CS205,-121.72357,38.25223,EDSM_20mm
MI209,-121.53103,37.97374,EDSM_20mm
LSJ207,-121.72223,38.03083,EDSM_20mm
FT210,-121.647134,38.06838591,EDSM_20mm
MKR214,-121.548406,38.116533,EDSM_20mm
MKR214,-121.54841,38.11653,EDSM_20mm
MKR213,-121.50049,38.07493,EDSM_20mm
MKR213,-121.50049,38.071493,EDSM_20mm
SRR202,-121.55909,38.23485,EDSM_20mm
SSC201,-121.58459,38.50579,EDSM_20mm
LSJ206,-121.81229,38.01826,EDSM_20mm
LSR211,-121.77296,38.03165,EDSM_20mm
MKR215,-121.54654,38.08784,EDSM_20mm
HB208,-121.95812,38.04959,EDSM_20mm
MKR216,-121.48106,38.1658,EDSM_20mm
RV206,-121.66862,38.17449,EDSM_20mm
LSJ208,-121.84831,38.0557,EDSM_20mm
MKR216,-121.48105,38.1658,EDSM_20mm
LSR212,-121.87671,38.05749,EDSM_20mm
SRU209,-121.53317,38.26935,EDSM_20mm
SJS204,-121.47698,38.02392,EDSM_20mm
SJS205,-121.40179,37.98941,EDSM_20mm
PP210,-121.5589,38.0622,EDSM_20mm
HB207,-121.96348,38.05529,EDSM_20mm
MI211,-121.5229,37.99076,EDSM_20mm
SPE211,-122.30429,38.0505,EDSM_20mm
CQS206,-122.25626,38.06318,EDSM_20mm
SBW207,-122.07538,38.09106,EDSM_20mm
18-47-RV02,-121.71,38.10854,EDSM_20mm
18-47-RV01,-121.69571,38.12328,EDSM_20mm
18-47-RV03,-121.73955,38.08889,EDSM_20mm
18-47-SBM01,-121.97512,38.05607,EDSM_20mm
18-47-SBM02,-121.99669,38.07854,EDSM_20mm
MR203,-121.5156399,37.91651381,EDSM_20mm
FT212,-121.61544,38.06309,EDSM_20mm
MKR217,-121.49763,38.17134,EDSM_20mm
SPE212,-122.29087,38.04601,EDSM_20mm
SBW208,-122.13931,38.03677,EDSM_20mm
CQS207,-122.21165,38.06309,EDSM_20mm
SRU210,-121.5675,38.33518,EDSM_20mm
SRR203,-121.60104,38.14768,EDSM_20mm
OR202,-121.56287,37.91353,EDSM_20mm
SBM213,-122.0112834,38.07160561,EDSM_20mm
HB209,-121.91418,38.0426,EDSM_20mm
RV207,-121.71921,38.09899,EDSM_20mm
HC205,-121.58158,38.01611,EDSM_20mm
HC204,-121.58352,38.04379,EDSM_20mm
MI212,-121.5119,38.00143,EDSM_20mm
SJT206,-121.67914,38.06637,EDSM_20mm
CS206,-121.63994,38.27922,EDSM_20mm
HC206,-121.57127,38.03169,EDSM_20mm
HC206,-121.57127,38.03169509,EDSM_20mm
SM204,-121.95511,38.17507,EDSM_20mm
LSJ209,-121.69458,38.04396,EDSM_20mm
LSJ211,-121.71245,38.03587,EDSM_20mm
VC204,-121.57977,37.87032,EDSM_20mm
LSJ210,-121.84237,38.04498,EDSM_20mm
SJT207,-121.68104,38.07443,EDSM_20mm
CS207,-121.6707101,38.24622473,EDSM_20mm
CS207,-121.67071,38.24625,EDSM_20mm
PP211,-121.53293,38.04645,EDSM_20mm
SBM214,-122.0509051,38.06448973,EDSM_20mm
CQS208,-122.150081,38.03557617,EDSM_20mm
CQS208,-122.15008,38.03558,EDSM_20mm
LSR213,-121.7442967,38.08410506,EDSM_20mm
SPE214,-122.29094,38.05744,EDSM_20mm
CQS209,-122.17608,38.0413,EDSM_20mm
HB210,-121.90198,38.04101,EDSM_20mm
LSR213,-121.74429,38.0841,EDSM_20mm
SPE213,-122.32701,38.06342,EDSM_20mm
MKR218,-121.48292,38.13944,EDSM_20mm
MKR219,-121.56242,38.09927,EDSM_20mm
SRU211,-121.51394,38.40415,EDSM_20mm
SJT208,-121.67683,38.06142,EDSM_20mm
SBM214,-122.0509,38.06448,EDSM_20mm
MI213,-121.46223,37.95964,EDSM_20mm
DS204,-121.46223,38.05434,EDSM_20mm
17-52-RV01,-121.71961,38.09733,EDSM_20mm
17-52-RV01,-121.71961,38.09734,EDSM_20mm
17-52-RV02,-121.71228,38.10955,EDSM_20mm
17-52-RV02,-121.71229,38.10955,EDSM_20mm
17-52-CS02,-121.67674,38.23425,EDSM_20mm
17-52-SSC01,-121.62487,38.38348,EDSM_20mm
17-52-SSC02,-121.6138,38.40798,EDSM_20mm
17-52-SSC02,-121.61381,38.40799,EDSM_20mm
18-45-CS04,-121.69311,38.31288,EDSM_20mm
18-45-SM01,-121.96448,38.18194,EDSM_20mm
18-45-GB01,-122.02244,38.1306,EDSM_20mm
18-45-GB02,-121.99549,38.11722,EDSM_20mm
18-45-GB03,-122.03869,38.11921,EDSM_20mm
18-45-GB04,-122.0075,38.13367,EDSM_20mm
18-45-GB05,-122.00147,38.11587,EDSM_20mm
18-45-GB06,-122.02625,38.12958,EDSM_20mm
18-45-GB07,-122.05298,38.11529,EDSM_20mm
18-45-SM02,-122.05894,38.16094,EDSM_20mm
18-45-RV01,-121.67311,38.16848,EDSM_20mm
18-45-LSR01,-121.75102,38.08066,EDSM_20mm
18-45-RV02,-121.70642,38.11399,EDSM_20mm
18-45-PP01,-121.50402,38.04609,EDSM_20mm
18-45-SJT01,-121.63014,38.1001,EDSM_20mm
18-45-LSJ01,-121.7926,38.02318,EDSM_20mm
18-45-RV03,-121.72771,38.09454,EDSM_20mm
18-45-RV04,-121.69464,38.12556,EDSM_20mm
18-45-LSR02,-121.81109,38.06231,EDSM_20mm
18-45-LSR03,-121.79399,38.05813,EDSM_20mm
18-45-CS02,-121.68794,38.24666,EDSM_20mm
18-45-CS03,-121.69577,38.26583,EDSM_20mm
18-45-CS01,-121.67583,38.2322,EDSM_20mm
18-45-SBW01,-122.13718,38.02992,EDSM_20mm
18-45-SBW02,-122.06117,38.08569,EDSM_20mm
18-45-SBM01,-122.0347,38.05844,EDSM_20mm
18-45-SBM02,-121.98343,38.0506,EDSM_20mm
18-45-LSSC01,-121.66096,38.20617,EDSM_20mm
18-45-LSSC02,-121.60208,38.43218,EDSM_20mm
18-45-CF02,-121.84155,38.06503,EDSM_20mm
18-45-USSC01,-121.58475,38.52483,EDSM_20mm
18-45-SBM03,-122.05505,38.0746,EDSM_20mm
18-45-HB01,-121.94182,38.07522,EDSM_20mm
18-45-CF01,-121.862,38.05355,EDSM_20mm
18-46-USSC01,-121.54959,38.56158,EDSM_20mm
18-45-HB02,-121.94423,38.05375,EDSM_20mm
18-46-PP01,-121.56053,38.06309,EDSM_20mm
18-46-SJT01,-121.64487,38.08648,EDSM_20mm
18-46-LSSC02,-121.67397,38.23333,EDSM_20mm
18-46-SBM01,-122.01971,38.069,EDSM_20mm
18-46-CF02,-121.85726,38.05864,EDSM_20mm
18-46-LSJ01,-121.71607,38.0383,EDSM_20mm
18-46-LSJ02,-121.75847,38.02696,EDSM_20mm
18-46-LSSC01,-121.65584,38.2013,EDSM_20mm
18-46-LSR01,-121.79183,38.0639,EDSM_20mm
18-46-SM02,-121.9158,38.13144,EDSM_20mm
18-46-LSR02,-121.82442,38.06618,EDSM_20mm
18-46-RV01,-121.69926,38.12354,EDSM_20mm
18-46-RV02,-121.70205,38.1115,EDSM_20mm
18-46-SM01,-121.89069,38.1024,EDSM_20mm
18-46-HB01,-121.96992,38.04933,EDSM_20mm
18-46-HB02,-121.94958,38.05852,EDSM_20mm
18-46-CF01,-121.83411,38.03889,EDSM_20mm
18-46-CS01,-121.6784,38.24444,EDSM_20mm
18-46-RV03,-121.68833,38.14244,EDSM_20mm
18-46-RV04,-121.71026,38.1139,EDSM_20mm
18-46-HB03,-121.96884,38.06009,EDSM_20mm
18-46-CS02,-121.70941,38.24688,EDSM_20mm
18-46-LSR03,-121.76855,38.07561,EDSM_20mm
18-46-CS05,-121.65392,38.32055,EDSM_20mm
18-46-SBW02,-122.06706,38.09235,EDSM_20mm
18-46-SBW01,-122.05552,38.0605,EDSM_20mm
18-46-CS03,-121.68073,38.26425,EDSM_20mm
18-46-CS04,-121.72993,38.30121,EDSM_20mm
18-46-GB01,-122.00275,38.11672,EDSM_20mm
18-46-CS06,-121.74944,38.26091,EDSM_20mm
18-47-LSR01,-121.77484,38.0751,EDSM_20mm
18-47-LSR02,-121.83607,38.07104,EDSM_20mm
18-47-LSR04,-121.8017,38.05952,EDSM_20mm
18-47-LSR05,-121.78483,38.03439,EDSM_20mm
18-47-RV04,-121.74082,38.09016,EDSM_20mm
18-47-LSSC01,-121.65743,38.29443,EDSM_20mm
18-47-SJT01,-121.62377,38.09725,EDSM_20mm
18-47-CS02,-121.7177,38.24992,EDSM_20mm
18-47-CS03,-121.67405,38.33619,EDSM_20mm
18-47-CS04,-121.67411,38.26068,EDSM_20mm
18-47-LSR06,-121.79559,38.0369,EDSM_20mm
18-47-LSR03,-121.78534,38.05268,EDSM_20mm
18-47-CS01,-121.67497,38.2438,EDSM_20mm
18-47-PP01,-121.50391,38.03849,EDSM_20mm
18-47-CS05,-121.71257,38.28094,EDSM_20mm
18-47-GB01,-122.01574,38.12127,EDSM_20mm
18-47-GB02,-122.03421,38.11629,EDSM_20mm
18-47-SBW01,-122.05737,38.07655,EDSM_20mm
18-48-CS04,-121.68173,38.23828,EDSM_20mm
18-48-CS05,-121.6863,38.26435,EDSM_20mm
18-48-CS06,-121.67537,38.25781,EDSM_20mm
18-48-CS02,-121.67813,38.26194,EDSM_20mm
18-47-LSSC02,-121.6383,38.35656,EDSM_20mm
18-47-USSC01,-121.58375,38.5213,EDSM_20mm
18-48-SBW01,-122.06235,38.0769,EDSM_20mm
18-48-CS01,-121.71597,38.28473,EDSM_20mm
18-47-CF01,-121.84409,38.07064,EDSM_20mm
18-48-LSR01,-121.79216,38.04931,EDSM_20mm
18-48-GB04,-122.01294,38.11875,EDSM_20mm
18-48-GB03,-122.01107,38.10863,EDSM_20mm
18-48-GB02,-122.03117,38.128,EDSM_20mm
18-48-GB01,-122.03809,38.13466,EDSM_20mm
18-48-SBM01,-121.99561,38.05737,EDSM_20mm
18-48-CS07,-121.70492,38.27091,EDSM_20mm
18-48-CF01,-121.87399,38.05725,EDSM_20mm
18-48-CS03,-121.66737,38.30698,EDSM_20mm
18-47-SBW03,-122.08201,38.0814,EDSM_20mm
18-47-SBW02,-122.08634,38.05447,EDSM_20mm
18-47-SM01,-121.98684,38.18382,EDSM_20mm
18-47-SM02,-122.05601,38.14896,EDSM_20mm
18-47-SM03,-122.05646,38.17128,EDSM_20mm
18-48-HB02,-121.96718,38.05117,EDSM_20mm
18-48-SBW02,-122.0743,38.05405,EDSM_20mm
18-48-SBM02,-121.99315,38.08284,EDSM_20mm
18-48-USSC02,-121.58499,38.51281,EDSM_20mm
18-48-LSSC02,-121.66814,38.25489,EDSM_20mm
18-48-RV02,-121.68738,38.13127,EDSM_20mm
18-48-RV03,-121.70989,38.111,EDSM_20mm
18-48-SM01,-121.92908,38.16046,EDSM_20mm
18-48-SM02,-122.06099,38.13987,EDSM_20mm
18-48-SJT01,-121.67782,38.0671,EDSM_20mm
18-48-RV04,-121.72984,38.09923,EDSM_20mm
18-48-PP02,-121.52711,38.04777,EDSM_20mm
18-48-RV05,-121.7112,38.08426,EDSM_20mm
18-48-SM03,-121.9952,38.18168,EDSM_20mm
18-48-HB01,-121.96546,38.07054,EDSM_20mm
18-48-PP01,-121.57551,38.09204,EDSM_20mm
18-48-USSC01,-121.55537,38.56201,EDSM_20mm
18-48-RV01,-121.68316,38.1111,EDSM_20mm
18-48-LSSC01,-121.65685,38.29278,EDSM_20mm
18-48-LSR02,-121.74543,38.08308,EDSM_20mm
19-45-PP01,-121.49743,38.0505,EDSM_20mm
19-45-CS03,-121.72344,38.25196,EDSM_20mm
19-45-CS01,-121.67157,38.25532,EDSM_20mm
19-45-CS05,-121.67305,38.24733,EDSM_20mm
19-45-CS02,-121.68239,38.23688,EDSM_20mm
19-45-CS04,-121.69475,38.27508,EDSM_20mm
19-45-LSJ02,-121.70447,38.03589,EDSM_20mm
19-45-LSSC01,-121.67281,38.2324,EDSM_20mm
19-45-USSC01,-121.55412,38.5646,EDSM_20mm
19-45-HB01,-121.95549,38.06196,EDSM_20mm
19-45-LSSC03,-121.65894,38.20311,EDSM_20mm
19-45-USSC02,-121.58421,38.50481,EDSM_20mm
19-45-USSC04,-121.58405,38.52112,EDSM_20mm
19-45-SBM01,-122.03784,38.079,EDSM_20mm
19-45-SBM02,-122.06205,38.09162,EDSM_20mm
19-45-SBW01,-122.09373,38.07773,EDSM_20mm
19-45-SBW02,-122.10486,38.05696,EDSM_20mm
19-45-LSSC06,-121.65722,38.19652,EDSM_20mm
19-45-LSSC02,-121.59196,38.45466,EDSM_20mm
19-45-LSJ03,-121.76245,38.02541,EDSM_20mm
19-45-LSJ04,-121.80725,38.02079,EDSM_20mm
19-45-HB02,-121.93622,38.05517,EDSM_20mm
19-45-RV01,-121.68605,38.15787,EDSM_20mm
19-45-RV02,-121.70899,38.09474,EDSM_20mm
19-45-LSR02,-121.79513,38.05882,EDSM_20mm
19-45-RV03,-121.69593,38.13633,EDSM_20mm
19-45-LSSC04,-121.63788,38.3572,EDSM_20mm
19-45-LSJ01,-121.7916,38.01856,EDSM_20mm
19-45-SBM03,-122.03738,38.06651,EDSM_20mm
19-45-USSC03,-121.54251,38.56085,EDSM_20mm
19-45-LSR01,-121.83031,38.06329,EDSM_20mm
19-45-LSSC05,-121.65094,38.32112,EDSM_20mm
19-45-GB01,-122.0611,38.10715,EDSM_20mm
19-46-CS01,-121.67939,38.23626,EDSM_20mm
19-46-CS02,-121.70695,38.27666,EDSM_20mm
19-46-CS04,-121.71746,38.28689,EDSM_20mm
19-45-SM04,-121.96397,38.18118,EDSM_20mm
19-45-SM01,-121.93367,38.16692,EDSM_20mm
19-45-SM03,-121.99606,38.18015,EDSM_20mm
19-45-SM02,-122.05962,38.14588,EDSM_20mm
19-46-SM01,-121.8811,38.07443,EDSM_20mm
19-46-SM03,-121.92988,38.19269,EDSM_20mm
19-46-LSSC02,-121.66554,38.26305,EDSM_20mm
19-46-LSSC01,-121.60481,38.42713,EDSM_20mm
19-46-SM02,-122.06661,38.12074,EDSM_20mm
19-46-CS03,-121.68767,38.25405,EDSM_20mm
19-46-CS05,-121.6777,38.24588,EDSM_20mm
19-46-CS06,-121.69677,38.26242,EDSM_20mm
19-46-CS07,-121.71001,38.27876,EDSM_20mm
19-46-LSJ02,-121.78417,38.02851,EDSM_20mm
19-46-SM04,-122.0398,38.20217,EDSM_20mm
19-46-LSJ01,-121.71522,38.04095,EDSM_20mm
19-46-SJT01,-121.67857,38.06648,EDSM_20mm
19-46-RV03,-121.72431,38.10205,EDSM_20mm
19-46-USSC02,-121.58451,38.49534,EDSM_20mm
19-46-SJT02,-121.68292,38.08732,EDSM_20mm
19-46-PP01,-121.53146,38.0576,EDSM_20mm
19-46-RV01,-121.69475,38.12256,EDSM_20mm
19-46-LSR01,-121.77124,38.06892,EDSM_20mm
19-46-LSR02,-121.80177,38.05693,EDSM_20mm
19-46-LSSC04,-121.6303,38.37207,EDSM_20mm
19-46-RV02,-121.73825,38.08537,EDSM_20mm
19-47-RV01,-121.68294,38.16094,EDSM_20mm
19-46-CF01,-121.83863,38.03447,EDSM_20mm
19-46-USSC01,-121.58522,38.52897,EDSM_20mm
19-46-SBM01,-122.02611,38.09925,EDSM_20mm
19-46-SBW01,-122.07376,38.07471,EDSM_20mm
19-46-SBW02,-122.09657,38.07615,EDSM_20mm
19-46-SM05,-121.89045,38.11269,EDSM_20mm
19-47-RV03,-121.73024,38.09191,EDSM_20mm
19-47-RV05,-121.68859,38.14472,EDSM_20mm
19-48-LSR03,-121.78455,38.05482,EDSM_20mm
19-48-GB01,-122.04882,38.10945,EDSM_20mm
19-48-GB02,-122.03091,38.10404,EDSM_20mm
19-47-RV02,-121.73822,38.08456,EDSM_20mm
19-47-HB01,-121.95921,38.05599,EDSM_20mm
19-47-CF01,-121.88079,38.03779,EDSM_20mm
19-47-SBW01,-122.13919,38.03865,EDSM_20mm
19-47-SBM01,-121.99223,38.0782,EDSM_20mm
19-47-RV04,-121.66862,38.17477,EDSM_20mm
19-47-LSSC05,-121.58959,38.46012,EDSM_20mm
19-47-LSSC03,-121.65683,38.29619,EDSM_20mm
19-47-LSSC02,-121.66371,38.26844,EDSM_20mm
19-47-LSSC04,-121.65596,38.19314,EDSM_20mm
19-47-USSC01,-121.56581,38.55997,EDSM_20mm
19-47-USSC03,-121.54752,38.5629,EDSM_20mm
19-47-LSSC06,-121.62387,38.38511,EDSM_20mm
19-47-LSSC01,-121.60883,38.41783,EDSM_20mm
19-47-LSJ02,-121.79143,38.01969,EDSM_20mm
19-47-LSJ01,-121.74812,38.02857,EDSM_20mm
19-47-SJT01,-121.64695,38.08721,EDSM_20mm
19-47-PP01,-121.58058,38.09767,EDSM_20mm
19-47-SJT02,-121.67862,38.07701,EDSM_20mm
19-47-USSC02,-121.57903,38.55152,EDSM_20mm
19-47-CS02,-121.69621,38.26453,EDSM_20mm
19-47-CS05,-121.6875,38.25015,EDSM_20mm
19-47-SM01,-122.06738,38.17122,EDSM_20mm
19-47-CS03,-121.6932,38.31253,EDSM_20mm
19-48-LSSC03,-121.63955,38.35344,EDSM_20mm
19-47-USSC04,-121.5845,38.5105,EDSM_20mm
19-47-SM02,-122.00475,38.17999,EDSM_20mm
19-47-CS01,-121.69736,38.24685,EDSM_20mm
19-47-CS04,-121.68368,38.23806,EDSM_20mm
19-47-SM03,-121.95006,38.17504,EDSM_20mm
19-48-LSSC02,-121.66291,38.1845,EDSM_20mm
19-48-SBM02,-121.98333,38.05194,EDSM_20mm
19-48-SBM04,-122.04897,38.09586,EDSM_20mm
19-48-SBM03,-122.00522,38.07376,EDSM_20mm
19-48-RV01,-121.7009,38.11019,EDSM_20mm
19-48-LSR01,-121.77049,38.06829,EDSM_20mm
19-48-LSR02,-121.83594,38.06936,EDSM_20mm
19-48-SBM01,-122.02385,38.09167,EDSM_20mm
19-48-SBW02,-122.10254,38.06145,EDSM_20mm
19-48-RV02,-121.73937,38.08474,EDSM_20mm
19-48-SBW01,-122.05575,38.06597,EDSM_20mm
19-48-SBW03,-122.0786,38.05395,EDSM_20mm
19-48-USSC03,-121.57893,38.55258,EDSM_20mm
19-48-USSC01,-121.5639,38.5608,EDSM_20mm
19-48-USSC02,-121.55242,38.56295,EDSM_20mm
19-48-USSC04,-121.58473,38.47674,EDSM_20mm
19-48-LSSC01,-121.61072,38.41578,EDSM_20mm
19-48-LSJ01,-121.69385,38.04763,EDSM_20mm
19-48-CS01,-121.61782,38.40829,EDSM_20mm
19-48-CS04,-121.69111,38.26236,EDSM_20mm
19-48-CS03,-121.68918,38.24382,EDSM_20mm
19-48-CS02,-121.67729,38.24425,EDSM_20mm
19-48-CS05,-121.66741,38.3268,EDSM_20mm
19-48-CS06,-121.67425,38.2502,EDSM_20mm
19-48-SJT02,-121.67781,38.058,EDSM_20mm
19-48-SJT01,-121.62896,38.09381,EDSM_20mm
19-48-SM01,-121.89156,38.09594,EDSM_20mm
19-48-PP02,-121.59362,38.10002,EDSM_20mm
19-48-PP01,-121.5366,38.06682,EDSM_20mm
19-48-SM02,-121.9491,38.17479,EDSM_20mm
19-48-SM03,-122.06115,38.13675,EDSM_20mm
19-48-GB03,-122.05582,38.12215,EDSM_20mm
19-48-SM04,-121.97012,38.18611,EDSM_20mm
19-48-RV03,-121.69771,38.13087,EDSM_20mm
SJT1,-121.650567,38.08927559,Kodiak_20mm
PP7,-121.5096637,38.05363934,Kodiak_20mm
SJT2,-121.6580414,38.09723946,Kodiak_20mm
PP11,-121.4925511,38.04006583,Kodiak_20mm
PP1,-121.5545839,38.05732549,Kodiak_20mm
SJT6,-121.6813721,38.0775272,Kodiak_20mm
SJT8,-121.6756151,38.09366697,Kodiak_20mm
CS2,-121.6542522,38.30260603,Kodiak_20mm
PP2,-121.5267976,38.05429891,Kodiak_20mm
PP4,-121.5238225,38.05550517,Kodiak_20mm
RV1,-121.7243691,38.10220737,Kodiak_20mm
SJT3,-121.6788291,38.08183878,Kodiak_20mm
SBM4,-122.0362426,38.10393452,Kodiak_20mm
HB2,-121.9696524,38.05935306,Kodiak_20mm
SBM7,-121.9949311,38.06204829,Kodiak_20mm
SBM2,-122.0298784,38.06734719,Kodiak_20mm
LSR1,-121.7733374,38.07257187,Kodiak_20mm
SJT7,-121.6266423,38.09655868,Kodiak_20mm
SJT4,-121.6195422,38.1024732,Kodiak_20mm
PP5,-121.599991,38.10533089,Kodiak_20mm
SJT9,-121.6153005,38.10123406,Kodiak_20mm
PP3,-121.573372,38.07801115,Kodiak_20mm
SJT5,-121.680893,38.06095295,Kodiak_20mm
LSR4,-121.8444382,38.07229154,Kodiak_20mm
RV2,-121.6837341,38.1505961,Kodiak_20mm
PP9,-121.5756331,38.09715144,Kodiak_20mm
CS1,-121.6870849,38.25058046,Kodiak_20mm
CS3,-121.6587033,38.24615926,Kodiak_20mm
LSJ8,-121.7013977,38.0231865,Kodiak_20mm
PP12,-121.5961971,38.10228942,Kodiak_20mm
PP16,-121.593008,38.09640325,Kodiak_20mm
PP14,-121.5758378,38.09364724,Kodiak_20mm
