OrganismRowID,OrganismCodeMaster,CommonNameMaster,OrganismCodeSTN,FieldNameSTN,OrganismCodeMWT,FieldNameMWT,OrganismSymbol,Active,CommonName,Phylum,Class,Order,Family,Genus,Species
1,1001,American shad,5,AMERSHAD,19,AMERSHAD,AS,TRUE,American Shad,Chordata,NA,NA,Clupeidae,Alosa,sapidissima
2,,Aequorea spp.,183,LENS JEL,111,,LEN,TRUE,Lens Jellyfish,Cnidaria,NA,NA,NA,Aequorea,NA
3,,Atherinopsidae (Unid),158,,,ANTHERIN,,TRUE,Atherinopsidae (unk),Chordata,NA,NA,NA,NA,NA
4,2882,arrow goby,13,AROWGOBY,76,AROWGOBY,AG,TRUE,Arrow Goby,Chordata,NA,NA,Gobiidae,Clevelandia,ios
5,2885,arrow or cheekspot goby,,,,,,TRUE,,,,,,,
6,,Aurelia spp.,159,,100,,MOO,TRUE,Moon Jelly,Cnidaria,NA,NA,NA,Aurelia,aurita
7,2101,barred surfperch,135,,48,BRDSPRCH,,TRUE,Barred Surfperch,Chordata,NA,NA,Embiotocidae,Amphistichus,argenteus
8,240,bat ray,100,,1,BATRAY,,TRUE,Bat Ray,Chordata,NA,NA,Mobulidae,Myliobatis,californica
9,2879,bay goby,59,BAYGOBY,74,BAYGOBY,BG,TRUE,Bay Goby,Chordata,NA,NA,Gobiidae,Lepidogobius,lepidus
10,1582,bay pipefish,35,BAYPIPE,71,BAYPIPEF,BPF,TRUE,Bay Pipefish,Chordata,NA,NA,Syngnathidae,Syngnathus,leptorhynchus
11,222,big skate,101,,2,BIGSKATE,,TRUE,Big Skate,Chordata,NA,NA,Rajidae,Raja,binoculata
12,7167,bigscale logperch,44,LOGPERCH,72,BSCALELG,BLP,TRUE,Bigscale Logperch,Chordata,NA,NA,Percidae,Percina,macrolepida
13,7100,black bullhead,138,,68,BLKBULHD,,TRUE,Black Bullhead,Chordata,NA,NA,Ictaluridae,Ameiurus,melas
14,7149,black crappie,41,BLKCRAP,6,BLKCRAPP,BC,TRUE,Black Crappie,Chordata,NA,NA,Centrarchidae,Pomoxis,nigromaculatus
15,2107,black perch,116,,49,BLKPERCH,,TRUE,Black Surfperch,Chordata,NA,NA,Embiotocidae,Embiotoca,jacksoni
16,2327,black rockfish,,,,,,TRUE,,,,,,,
17,2871,blackeye goby,,,,,,TRUE,,,,,,,
18,,Blackfordia virginica,189,,102,,BLC,TRUE,Blackfordia virginica,Cnidaria,,,,Blackfordia,virginica
19,7105,blue catfish,151,,,,,TRUE,Blue Catfish,Chordata,NA,NA,NA,Ictalurus,furcatus
20,1404,blue lanternfish,,,,,,TRUE,,,,,,,
21,2330,blue rockfish,,,,,,TRUE,,,,,,,
22,7143,bluegill,38,BLUEGILL,52,BLUEGILL,BGS,TRUE,Bluegill,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus
23,2334,bocaccio,,,,,,TRUE,,,,,,,
24,2430,bonyhead sculpin,,,,,,TRUE,,,,,,,
25,103,broadnose sevengill shark,129,,56,SEVNGSHK,,TRUE,Sevengill Shark,Chordata,NA,NA,Hexanchidae,Notorynchus,maculatus
26,7101,brown bullhead,54,BRNBULLH,69,BRNBULHD,BB,TRUE,Brown Bullhead,Chordata,NA,NA,Ictaluridae,Ameiurus,nebulosus
27,2406,brown Irish lord,,,,,,TRUE,,,,,,,
28,2304,brown rockfish,,,,,,TRUE,,,,,,,
29,139,brown smoothhound,106,,59,BRNSMHND,,TRUE,Brown Smoothhound,Chordata,NA,NA,Carcharhinidae,Mustelus,henlei
30,2404,buffalo sculpin,,,,,,TRUE,,,,,,,
31,2410,cabezon,,,,,,TRUE,,,,,,,
32,2102,calico surfperch,133,,45,CALSPRCH,,TRUE,Calico Surfperch,Chordata,NA,NA,Embiotocidae,Amphistichus,koelzi
